sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
183277,https://sofifa.com/player/183277/eden-hazard/16/158127,E. Hazard,Eden Hazard,24,1991-01-07,173,74,Belgium,Chelsea,89,91,74000000,240000,LM,Right,4,4,4,High/Medium,Normal,Yes,,"#Speedster, #Dribbler, #Acrobat",LM,10.0,,2012-07-01,2020.0,LM,10.0,90.0,82.0,84.0,92.0,32.0,64.0,,,,,,,"Injury Free, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80+2,83,57,86,79,94+1,82,79,82,90,93,87,92,86,90,79,59,74,63,82,54,41,86+2,86,86,,25,27,22,11,12,6,8,8,82+2,82+2,82+2,88+2,87+2,87+2,87+2,88+2,88+2,88+2,88+2,87+2,80+2,80+2,80+2,87+2,64+2,61+2,61+2,61+2,64+2,58+2,47+2,47+2,47+2,58+2
162895,https://sofifa.com/player/162895/francesc-fabregas-i-soler/16/158127,Cesc Fàbregas,Francesc Fàbregas i Soler,28,1987-05-04,175,74,Spain,Chelsea,87,87,43500000,220000,"CM, CAM",Right,4,3,3,High/Medium,Normal,Yes,,#Playmaker  ,RDM,4.0,,2014-07-01,2019.0,RCM,10.0,63.0,78.0,90.0,81.0,64.0,65.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",86+3,78,74,93+1,81,81,77,81,92+1,87,65-2,62-6,65,83,77,77,68,81-2,64,78,45,61,81-2,93,80,,62,66,62,6,10,8,15,15,78+2,78+2,78+2,81+2,82+2,82+2,82+2,81+2,84+2,84+2,84+2,83+2,85+2,85+2,85+2,83+2,75+2,75+2,75+2,75+2,75+2,72+2,67+2,67+2,67+2,72+2
192119,https://sofifa.com/player/192119/thibaut-courtois/16/158127,T. Courtois,Thibaut Courtois,23,1992-05-11,199,88,Belgium,Chelsea,86,90,44000000,180000,GK,Left,3,3,1,Medium/Medium,Courtois,Yes,,,SUB,13.0,,2011-07-26,2019.0,GK,1.0,,,,,,,84.0,87.0,69.0,88.0,49.0,86.0,GK Long Throw,14-11,14-11,13-12,32,12-13,13-12,19-6,11-14,31,23,46,52,61,81,45,36,68,38,70,17-8,23,15-10,13-12,44+19,27,,11-14,18-7,16-9,84,87,69,86,88,,,,,,,,,,,,,,,,,,,,,,,,,,
179844,https://sofifa.com/player/179844/diego-da-silva-costa/16/158127,Diego Costa,Diego da Silva Costa,26,1988-10-07,188,85,Spain,Chelsea,86,87,46500000,230000,ST,Right,4,4,3,High/Medium,Normal,Yes,,#Strength,ST,19.0,,2014-07-15,2019.0,ST,19.0,82.0,83.0,63.0,79.0,40.0,88.0,,,,,,,Diver,63,90,82,65,81,82,58,59,48,82,79,85,63,85,52-10,83,60,85,91,69,90,40,89,74,76,,28,39,34,11,13,12,8,11,84+2,84+2,84+2,79+2,81+2,81+2,81+2,79+2,77+2,77+2,77+2,77+2,70+2,70+2,70+2,77+2,61+2,59+2,59+2,59+2,61+2,59+2,57+2,57+2,57+2,59+2
13732,https://sofifa.com/player/13732/john-terry/16/158127,J. Terry,John Terry,34,1980-12-07,187,90,England,Chelsea,85,85,10500000,120000,CB,Right,3,4,2,Medium/High,Normal,Yes,,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",SUB,26.0,,1998-10-28,2016.0,,,34.0,47.0,57.0,52.0,87.0,81.0,,,,,,,"Leadership, Power Header, One Club Player",42,46,90,66+3,55,45,44,31,64,63+2,33-1,34-10,44,85,46,61,78+3,67,86+2,33,88,86+3,38,59,52,,87+2,87+2,85+2,14,5,6,15,8,57+1,57+1,57+1,50+1,54+1,54+1,54+1,50+1,55+1,55+1,55+1,53+1,63+1,63+1,63+1,53+1,68+1,77+1,77+1,77+1,68+1,71+1,84+1,84+1,84+1,71+1
188152,https://sofifa.com/player/188152/oscar-dos-santos-emboaba/16/158127,Oscar,Oscar dos Santos Emboaba Júnior,23,1991-09-09,179,67,Brazil,Chelsea,84,88,38000000,170000,"CAM, RM",Right,3,3,4,Medium/High,Lean,Yes,,#Acrobat,CAM,8.0,,2012-07-26,2019.0,,,79.0,75.0,81.0,84.0,43.0,47.0,,,,,,,"Beat Offside Trap, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",70,75,54,85,63,84,77,77,82,85,82-2,77-2,86,81,80,76,66,76,36,77,31,34,81,85,68,,37,50,47,12,10,15,12,12,75+1,75+1,75+1,81+1,81+1,81+1,81+1,81+1,83+1,83+1,83+1,81+1,79+1,79+1,79+1,81+1,65+1,62+1,62+1,62+1,65+1,62+1,49+1,49+1,49+1,62+1
191202,https://sofifa.com/player/191202/nemanja-matic/16/158127,N. Matić,Nemanja Matić,26,1988-08-01,194,84,Serbia,Chelsea,84,87,29500000,180000,CDM,Left,3,3,3,Medium/High,Lean,Yes,,"#Aerial Threat, #Tactician , #Strength",LDM,21.0,,2014-01-15,2019.0,,,67.0,70.0,77.0,75.0,82.0,88.0,,,,,,,Long Passer (CPU AI Only),68,64,77,84,74,78,68,67,81,79,66,68,53,84,53,78,71+1,90,90+2,75,83,88+2,70,77,69,,78,85,78,7,15,12,14,9,75+1,75+1,75+1,74+1,75+1,75+1,75+1,74+1,76+1,76+1,76+1,76+1,81+1,81+1,81+1,76+1,80+1,83+1,83+1,83+1,80+1,80+1,82+1,82+1,82+1,80+1
164468,https://sofifa.com/player/164468/gary-cahill/16/158127,G. Cahill,Gary Cahill,29,1985-12-19,193,86,England,Chelsea,83,83,17500000,130000,CB,Right,2,3,2,Medium/Medium,Normal,Yes,,"#Tackling , #Tactician ",LCB,24.0,,2012-01-16,2017.0,RCB,5.0,73.0,58.0,52.0,62.0,86.0,76.0,,,,,,,Power Header,28,56,86,65,47,58,48,27,61,64,69,77-1,67,84,51,63,82+1,68,79,66,78,86+4,45,56,53,,84+2,87+2,88+2,5,12,9,5,12,65+0,65+0,65+0,60+0,62+0,62+0,62+0,60+0,62+0,62+0,62+0,60+0,65+0,65+0,65+0,60+0,71+0,75+0,75+0,75+0,71+0,75+0,83+0,83+0,83+0,75+0
167397,https://sofifa.com/player/167397/radamel-falcao-garcia-zarate/16/158127,Falcao,Radamel Falcao García Zárate,29,1986-02-10,177,72,Colombia,Chelsea,83,83,23000000,150000,ST,Right,4,4,4,High/Medium,Normal,Yes,,#Aerial Threat,SUB,9.0,AS Monaco,,2016.0,,,72.0,82.0,64.0,79.0,37.0,73.0,,,,,,,"Injury Prone, Finesse Shot, Power Header",55,85-1,91-1,69,85-4,75-3,83,71,53,83,75-2,69-3,85,86-1,75,79,92,71,73,77,70,41,86-1,68,84-3,,16-9,42,19-6,10,13,6,9,5,81+2,81+2,81+2,76+2,79+2,79+2,79+2,76+2,76+2,76+2,76+2,73+2,70+2,70+2,70+2,73+2,56+2,56+2,56+2,56+2,56+2,54+2,53+2,53+2,53+2,54+2
189505,https://sofifa.com/player/189505/pedro-rodriguez-ledesma/16/158127,Pedro,Pedro Eliezer Rodríguez Ledesma,27,1987-07-28,167,62,Spain,Chelsea,83,83,24000000,170000,"LW, RW",Right,3,5,4,High/Medium,Normal,Yes,,,RM,17.0,,2015-08-20,2019.0,LM,11.0,82.0,76.0,77.0,84.0,37.0,62.0,,,,,,,,78,80,55,83,70,84,81,57,74,85,86,79-1,84,85,82,71,67,78,55+3,73,56,49,84,74,66,,30,32,31,5,11,12,15,9,77+1,77+1,77+1,82+1,81+1,81+1,81+1,82+1,81+1,81+1,81+1,82+1,76+1,76+1,76+1,82+1,65+1,61+1,61+1,61+1,65+1,60+1,49+1,49+1,49+1,60+1
